name	sex	period_class	reriods	reriode	EAR	RDA	AI	UL	unit	DG_min	DG_max	DG_unit
niacin	f	m	6	11	-	-	3	-	mgNE/day	-	-	-
niacin	f	y	1	2	4	5	-	60	mgNE/day	-	-	-
niacin	f	y	3	5	6	7	-	80	mgNE/day	-	-	-
niacin	f	y	6	7	7	8	-	100	mgNE/day	-	-	-
niacin	f	y	8	9	8	10	-	150	mgNE/day	-	-	-
niacin	f	y	10	11	10	10	-	150	mgNE/day	-	-	-
niacin	f	y	12	14	12	14	-	250	mgNE/day	-	-	-
niacin	f	y	15	17	11	13	-	250	mgNE/day	-	-	-
niacin	f	y	18	29	9	11	-	250	mgNE/day	-	-	-
niacin	f	y	30	49	10	12	-	250	mgNE/day	-	-	-
niacin	f	y	50	64	9	11	-	250	mgNE/day	-	-	-
niacin	f	y	65	74	9	11	-	250	mgNE/day	-	-	-
niacin	f	y	75	-	9	10	-	250	mgNE/day	-	-	-
niacin	f	p	0	15	-	-	-	-	mgNE/day	-	-	-
niacin	f	p	16	27	-	-	-	-	mgNE/day	-	-	-
niacin	f	p	38	-	-	-	-	-	mgNE/day	-	-	-
niacin	f	l	-	-	+3	+3	-		mgNE/day	-	-	-
niacin_na	m	m	0	5	-	-	2	-	mgNE/day	-	-	-
niacin_na	m	m	6	11	-	-	3	-	mgNE/day	-	-	-
niacin_na	m	y	1	2	5	6	-	15	mgNE/day	-	-	-
niacin_na	m	y	3	5	6	8	-	20	mgNE/day	-	-	-
niacin_na	m	y	6	7	7	9	-	30	mgNE/day	-	-	-
niacin_na	m	y	8	9	9	11	-	35	mgNE/day	-	-	-
niacin_na	m	y	10	11	11	13	-	45	mgNE/day	-	-	-
niacin_na	m	y	12	14	12	15	-	60	mgNE/day	-	-	-
niacin_na	m	y	15	17	14	17	-	70	mgNE/day	-	-	-
niacin_na	m	y	18	29	13	15	-	80	mgNE/day	-	-	-
niacin_na	m	y	30	49	13	15	-	85	mgNE/day	-	-	-
niacin_na	m	y	50	64	12	14	-	85	mgNE/day	-	-	-
niacin_na	m	y	65	74	12	14	-	80	mgNE/day	-	-	-
niacin_na	m	y	75	-	11	13	-	75	mgNE/day	-	-	-
niacin_na	f	m	0	5	-	-	2	-	mgNE/day	-	-	-
niacin_na	f	m	6	11	-	-	3	-	mgNE/day	-	-	-
niacin_na	f	y	1	2	4	5	-	15	mgNE/day	-	-	-
niacin_na	f	y	3	5	6	7	-	20	mgNE/day	-	-	-
niacin_na	f	y	6	7	7	8	-	30	mgNE/day	-	-	-
niacin_na	f	y	8	9	8	10	-	35	mgNE/day	-	-	-
niacin_na	f	y	10	11	10	10	-	45	mgNE/day	-	-	-
niacin_na	f	y	12	14	12	14	-	60	mgNE/day	-	-	-
niacin_na	f	y	15	17	11	13	-	65	mgNE/day	-	-	-
niacin_na	f	y	18	29	9	11	-	65	mgNE/day	-	-	-
niacin_na	f	y	30	49	10	12	-	65	mgNE/day	-	-	-
niacin_na	f	y	50	64	9	11	-	65	mgNE/day	-	-	-
niacin_na	f	y	65	74	9	11	-	65	mgNE/day	-	-	-
niacin_na	f	y	75	-	9	10	-	60	mgNE/day	-	-	-
niacin_na	f	p	0	15	-	-	-	-	mgNE/day	-	-	-
niacin_na	f	p	16	27	-	-	-	-	mgNE/day	-	-	-
niacin_na	f	p	38	-	-	-	-	-	mgNE/day	-	-	-
niacin_na	f	l	-	-	+3	+3	-		mgNE/day	-	-	-
vitb6	m	m	0	5	-	-	0.2	-	mg/day	-	-	-
vitb6	m	m	6	11	-	-	0.3	-	mg/day	-	-	-
vitb6	m	y	1	2	0.4	0.5	-	10	mg/day	-	-	-
vitb6	m	y	3	5	0.5	0.6	-	15	mg/day	-	-	-
vitb6	m	y	6	7	0.7	0.8	-	20	mg/day	-	-	-
vitb6	m	y	8	9	0.8	0.9	-	25	mg/day	-	-	-
vitb6	m	y	10	11	1.0	1.1	-	30	mg/day	-	-	-
vitb6	m	y	12	14	1.2	1.4	-	40	mg/day	-	-	-
vitb6	m	y	15	17	1.2	1.5	-	50	mg/day	-	-	-
vitb6	m	y	18	29	1.1	1.4	-	55	mg/day	-	-	-
vitb6	m	y	30	49	1.1	1.4	-	60	mg/day	-	-	-
vitb6	m	y	50	64	1.1	1.4	-	55	mg/day	-	-	-
vitb6	m	y	65	74	1.1	1.4	-	50	mg/day	-	-	-
vitb6	m	y	75	-	1.1	1.4	-	50	mg/day	-	-	-
vitb6	f	m	0	5	-	-	0.2	-	mg/day	-	-	-
vitb6	f	m	6	11	-	-	0.3	-	mg/day	-	-	-
vitb6	f	y	1	2	0.4	0.5	-	10	mg/day	-	-	-
vitb6	f	y	3	5	0.5	0.6	-	15	mg/day	-	-	-
vitb6	f	y	6	7	0.6	0.7	-	20	mg/day	-	-	-
vitb6	f	y	8	9	0.8	0.9	-	25	mg/day	-	-	-
vitb6	f	y	10	11	1.0	1.1	-	30	mg/day	-	-	-
vitb6	f	y	12	14	1.0	1.3	-	40	mg/day	-	-	-
vitb6	f	y	15	17	1.0	1.3	-	45	mg/day	-	-	-
vitb6	f	y	18	29	1.0	1.1	-	45	mg/day	-	-	-
vitb6	f	y	30	49	1.0	1.1	-	45	mg/day	-	-	-
vitb6	f	y	50	64	1.0	1.1	-	45	mg/day	-	-	-
vitb6	f	y	65	74	1.0	1.1	-	40	mg/day	-	-	-
vitb6	f	y	75	-	1.0	1.1	-	40	mg/day	-	-	-
vitb6	f	p	0	15	+0.2	+0.2	-	-	mg/day	-	-	-
vitb6	f	p	16	27	+0.2	+0.2	-	-	mg/day	-	-	-
vitb6	f	p	38	-	+0.2	+0.2	-	-	mg/day	-	-	-
vitb6	f	l	-	-	+0.3	+0.3	-		mg/day	-	-	-
vitb12	m	m	0	5	-	-	0.4	-	ug/day	-	-	-
vitb12	m	m	6	11	-	-	0.5	-	ug/day	-	-	-
vitb12	m	y	1	2	0.8	0.9	-	-	ug/day	-	-	-
vitb12	m	y	3	5	0.9	1.1	-	-	ug/day	-	-	-
vitb12	m	y	6	7	1.1	1.3	-	-	ug/day	-	-	-
vitb12	m	y	8	9	1.3	1.6	-	-	ug/day	-	-	-
vitb12	m	y	10	11	1.6	1.9	-	-	ug/day	-	-	-
vitb12	m	y	12	14	2.0	2.4	-	-	ug/day	-	-	-
vitb12	m	y	15	17	2.0	2.4	-	-	ug/day	-	-	-
vitb12	m	y	18	29	2.0	2.4	-	-	ug/day	-	-	-
vitb12	m	y	30	49	2.0	2.4	-	-	ug/day	-	-	-
vitb12	m	y	50	64	2.0	2.4	-	-	ug/day	-	-	-
vitb12	m	y	65	74	2.0	2.4	-	-	ug/day	-	-	-
vitb12	m	y	75	-	2.0	2.4	-	-	ug/day	-	-	-
vitb12	f	m	0	5	-	-	0.4	-	ug/day	-	-	-
vitb12	f	m	6	11	-	-	0.5	-	ug/day	-	-	-
vitb12	f	y	1	2	0.8	0.9	-	-	ug/day	-	-	-
vitb12	f	y	3	5	0.9	1.1	-	-	ug/day	-	-	-
vitb12	f	y	6	7	1.1	1.3	-	-	ug/day	-	-	-
vitb12	f	y	8	9	1.3	1.6	-	-	ug/day	-	-	-
vitb12	f	y	10	11	1.6	1.9	-	-	ug/day	-	-	-
vitb12	f	y	12	14	2.0	2.4	-	-	ug/day	-	-	-
vitb12	f	y	15	17	2.0	2.4	-	-	ug/day	-	-	-
vitb12	f	y	18	29	2.0	2.4	-	-	ug/day	-	-	-
vitb12	f	y	30	49	2.0	2.4	-	-	ug/day	-	-	-
vitb12	f	y	50	64	2.0	2.4	-	-	ug/day	-	-	-
vitb12	f	y	65	74	2.0	2.4	-	-	ug/day	-	-	-
vitb12	f	y	75	-	2.0	2.4	-	-	ug/day	-	-	-
vitb12	f	p	0	15	+0.3	+0.4	-	-	ug/day	-	-	-
vitb12	f	p	16	27	+0.3	+0.4	-	-	ug/day	-	-	-
vitb12	f	p	38	-	+0.3	+0.4	-	-	ug/day	-	-	-
vitb12	f	l	-	-	+0.7	+0.8	-		ug/day	-	-	-
folica	m	m	0	5	-	-	40	-	ug/day	-	-	-
folica	m	m	6	11	-	-	60	-	ug/day	-	-	-
folica	m	y	1	2	80	90	-	200	ug/day	-	-	-
folica	m	y	3	5	90	110	-	300	ug/day	-	-	-
folica	m	y	6	7	110	140	-	400	ug/day	-	-	-
folica	m	y	8	9	130	160	-	500	ug/day	-	-	-
folica	m	y	10	11	160	190	-	700	ug/day	-	-	-
folica	m	y	12	14	200	240	-	900	ug/day	-	-	-
folica	m	y	15	17	220	240	-	900	ug/day	-	-	-
folica	m	y	18	29	200	240	-	900	ug/day	-	-	-
folica	m	y	30	49	200	240	-	1000	ug/day	-	-	-
folica	m	y	50	64	200	240	-	1000	ug/day	-	-	-
folica	m	y	65	74	200	240	-	900	ug/day	-	-	-
folica	m	y	75	-	200	240	-	900	ug/day	-	-	-
folica	f	m	0	5	-	-	40	-	ug/day	-	-	-
folica	f	m	6	11	-	-	60	-	ug/day	-	-	-
folica	f	y	1	2	90	90	-	200	ug/day	-	-	-
folica	f	y	3	5	90	110	-	300	ug/day	-	-	-
folica	f	y	6	7	110	140	-	400	ug/day	-	-	-
folica	f	y	8	9	130	160	-	500	ug/day	-	-	-
folica	f	y	10	11	160	190	-	700	ug/day	-	-	-
folica	f	y	12	14	200	240	-	900	ug/day	-	-	-
folica	f	y	15	17	200	240	-	900	ug/day	-	-	-
folica	f	y	18	29	200	240	-	900	ug/day	-	-	-
folica	f	y	30	49	200	240	-	1000	ug/day	-	-	-
folica	f	y	50	64	200	240	-	1000	ug/day	-	-	-
folica	f	y	65	74	200	240	-	900	ug/day	-	-	-
folica	f	y	75	-	200	240	-	900	ug/day	-	-	-
folica	f	p	0	15	-	-	-	-	ug/day	-	-	-
folica	f	p	16	27	+200	+240	-	-	ug/day	-	-	-
folica	f	p	38	-	+200	+240	-	-	ug/day	-	-	-
folica	f	l	-	-	+80	+100	-		ug/day	-	-	-
pantoa	m	m	0	5	-	-	4	-	mg/day	-	-	-
pantoa	m	m	6	11	-	-	5	-	mg/day	-	-	-
pantoa	m	y	1	2	-	-	3	-	mg/day	-	-	-
pantoa	m	y	3	5	-	-	4	-	mg/day	-	-	-
pantoa	m	y	6	7	-	-	5	-	mg/day	-	-	-
pantoa	m	y	8	9	-	-	6	-	mg/day	-	-	-
pantoa	m	y	10	11	-	-	6	-	mg/day	-	-	-
pantoa	m	y	12	14	-	-	7	-	mg/day	-	-	-
pantoa	m	y	15	17	-	-	7	-	mg/day	-	-	-
pantoa	m	y	18	29	-	-	5	-	mg/day	-	-	-
pantoa	m	y	30	49	-	-	5	-	mg/day	-	-	-
pantoa	m	y	50	64	-	-	6	-	mg/day	-	-	-
pantoa	m	y	65	74	-	-	6	-	mg/day	-	-	-
pantoa	m	y	75	-	-	-	6	-	mg/day	-	-	-
pantoa	f	m	0	5	-	-	4	-	mg/day	-	-	-
pantoa	f	m	6	11	-	-	5	-	mg/day	-	-	-
pantoa	f	y	1	2	-	-	4	-	mg/day	-	-	-
pantoa	f	y	3	5	-	-	4	-	mg/day	-	-	-
pantoa	f	y	6	7	-	-	5	-	mg/day	-	-	-
pantoa	f	y	8	9	-	-	5	-	mg/day	-	-	-
pantoa	f	y	10	11	-	-	6	-	mg/day	-	-	-
pantoa	f	y	12	14	-	-	6	-	mg/day	-	-	-
pantoa	f	y	15	17	-	-	6	-	mg/day	-	-	-
pantoa	f	y	18	29	-	-	5	-	mg/day	-	-	-
pantoa	f	y	30	49	-	-	5	-	mg/day	-	-	-
pantoa	f	y	50	64	-	-	5	-	mg/day	-	-	-
pantoa	f	y	65	74	-	-	5	-	mg/day	-	-	-
pantoa	f	y	75	-	-	-	5	-	mg/day	-	-	-
pantoa	f	p	0	15	-	-	5	-	mg/day	-	-	-
pantoa	f	p	16	27	-	-	5	-	mg/day	-	-	-
pantoa	f	p	38	-	-	-	5	-	mg/day	-	-	-
pantoa	f	l	-	-	-	-	6		mg/day	-	-	-
biotin	m	m	0	5	-	-	4	-	ug/day	-	-	-
biotin	m	m	6	11	-	-	5	-	ug/day	-	-	-
biotin	m	y	1	2	-	-	20	-	ug/day	-	-	-
biotin	m	y	3	5	-	-	20	-	ug/day	-	-	-
biotin	m	y	6	7	-	-	30	-	ug/day	-	-	-
biotin	m	y	8	9	-	-	30	-	ug/day	-	-	-
biotin	m	y	10	11	-	-	40	-	ug/day	-	-	-
biotin	m	y	12	14	-	-	50	-	ug/day	-	-	-
biotin	m	y	15	17	-	-	50	-	ug/day	-	-	-
biotin	m	y	18	29	-	-	50	-	ug/day	-	-	-
biotin	m	y	30	49	-	-	50	-	ug/day	-	-	-
biotin	m	y	50	64	-	-	50	-	ug/day	-	-	-
biotin	m	y	65	74	-	-	50	-	ug/day	-	-	-
biotin	m	y	75	-	-	-	50	-	ug/day	-	-	-
biotin	f	m	0	5	-	-	4	-	ug/day	-	-	-
biotin	f	m	6	11	-	-	5	-	ug/day	-	-	-
biotin	f	y	1	2	-	-	20	-	ug/day	-	-	-
biotin	f	y	3	5	-	-	20	-	ug/day	-	-	-
biotin	f	y	6	7	-	-	30	-	ug/day	-	-	-
biotin	f	y	8	9	-	-	30	-	ug/day	-	-	-
biotin	f	y	10	11	-	-	40	-	ug/day	-	-	-
biotin	f	y	12	14	-	-	50	-	ug/day	-	-	-
biotin	f	y	15	17	-	-	50	-	ug/day	-	-	-
biotin	f	y	18	29	-	-	50	-	ug/day	-	-	-
biotin	f	y	30	49	-	-	50	-	ug/day	-	-	-
biotin	f	y	50	64	-	-	50	-	ug/day	-	-	-
biotin	f	y	65	74	-	-	50	-	ug/day	-	-	-
biotin	f	y	75	-	-	-	50	-	ug/day	-	-	-
biotin	f	p	0	15	-	-	50	-	ug/day	-	-	-
biotin	f	p	16	27	-	-	50	-	ug/day	-	-	-
biotin	f	p	38	-	-	-	50	-	ug/day	-	-	-
biotin	f	l	-	-	-	-	50		ug/day	-	-	-
vitc	m	m	0	5	-	-	40	-	mg/day	-	-	-
vitc	m	m	6	11	-	-	40	-	mg/day	-	-	-
vitc	m	y	1	2	35	40	-	-	mg/day	-	-	-
vitc	m	y	3	5	40	50	-	-	mg/day	-	-	-
vitc	m	y	6	7	50	60	-	-	mg/day	-	-	-
vitc	m	y	8	9	60	70	-	-	mg/day	-	-	-
vitc	m	y	10	11	70	85	-	-	mg/day	-	-	-
vitc	m	y	12	14	85	100	-	-	mg/day	-	-	-
vitc	m	y	15	17	85	100	-	-	mg/day	-	-	-
vitc	m	y	18	29	85	100	-	-	mg/day	-	-	-
vitc	m	y	30	49	85	100	-	-	mg/day	-	-	-
vitc	m	y	50	64	85	100	-	-	mg/day	-	-	-
vitc	m	y	65	74	80	100	-	-	mg/day	-	-	-
vitc	m	y	75	-	80	100	-	-	mg/day	-	-	-
vitc	f	m	0	5	-	-	40	-	mg/day	-	-	-
vitc	f	m	6	11	-	-	40	-	mg/day	-	-	-
vitc	f	y	1	2	35	40	-	-	mg/day	-	-	-
vitc	f	y	3	5	40	50	-	-	mg/day	-	-	-
vitc	f	y	6	7	50	60	-	-	mg/day	-	-	-
vitc	f	y	8	9	60	70	-	-	mg/day	-	-	-
vitc	f	y	10	11	70	85	-	-	mg/day	-	-	-
vitc	f	y	12	14	85	100	-	-	mg/day	-	-	-
vitc	f	y	15	17	85	100	-	-	mg/day	-	-	-
vitc	f	y	18	29	85	100	-	-	mg/day	-	-	-
vitc	f	y	30	49	85	100	-	-	mg/day	-	-	-
vitc	f	y	50	64	85	100	-	-	mg/day	-	-	-
vitc	f	y	65	74	80	100	-	-	mg/day	-	-	-
vitc	f	y	75	-	80	100	-	-	mg/day	-	-	-
vitc	f	p	0	15	+10	+10	-	-	mg/day	-	-	-
vitc	f	p	16	27	+10	+10	-	-	mg/day	-	-	-
vitc	f	p	38	-	+10	+10	-	-	mg/day	-	-	-
vitc	f	l	-	-	+40	+45	-		mg/day	-	-	-
na	m	m	0	5	-	-	100	-	mg/day	-	-	-
na	m	m	6	11	-	-	600	-	mg/day	-	-	-
na	m	y	1	2	-	-	-	-	mg/day	-	-	-
na	m	y	3	5	-	-	-	-	mg/day	-	-	-
na	m	y	6	7	-	-	-	-	mg/day	-	-	-
na	m	y	8	9	-	-	-	-	mg/day	-	-	-
na	m	y	10	11	-	-	-	-	mg/day	-	-	-
na	m	y	12	14	-	-	-	-	mg/day	-	-	-
na	m	y	15	17	-	-	-	-	mg/day	-	-	-
na	m	y	18	29	600	-	-	-	mg/day	-	-	-
na	m	y	30	49	600	-	-	-	mg/day	-	-	-
na	m	y	50	64	600	-	-	-	mg/day	-	-	-
na	m	y	65	74	600	-	-	-	mg/day	-	-	-
na	m	y	75	-	600	-	-	-	mg/day	-	-	-
na	f	m	0	5	-	-	100	-	mg/day	-	-	-
na	f	m	6	11	-	-	600	-	mg/day	-	-	-
na	f	y	1	2	-	-	-	-	mg/day	-	-	-
na	f	y	3	5	-	-	-	-	mg/day	-	-	-
na	f	y	6	7	-	-	-	-	mg/day	-	-	-
na	f	y	8	9	-	-	-	-	mg/day	-	-	-
na	f	y	10	11	-	-	-	-	mg/day	-	-	-
na	f	y	12	14	-	-	-	-	mg/day	-	-	-
na	f	y	15	17	-	-	-	-	mg/day	-	-	-
na	f	y	18	29	600	-	-	-	mg/day	-	-	-
na	f	y	30	49	600	-	-	-	mg/day	-	-	-
na	f	y	50	64	600	-	-	-	mg/day	-	-	-
na	f	y	65	74	600	-	-	-	mg/day	-	-	-
na	f	y	75	-	600	-	-	-	mg/day	-	-	-
na	f	p	0	15	600	-	-	-	mg/day	-	-	-
na	f	p	16	27	600	-	-	-	mg/day	-	-	-
na	f	p	38	-	600	-	-	-	mg/day	-	-	-
na	f	l	-	-	600	-	-		mg/day	-	-	-
salt	m	m	0	5	-	-	0.3	-	g/day	-	-	g/day
salt	m	m	6	11	-	-	1.5	-	g/day	-	-	g/day
salt	m	y	1	2	-	-	-	-	g/day	-	3.0	g/day
salt	m	y	3	5	-	-	-	-	g/day	-	3.5	g/day
salt	m	y	6	7	-	-	-	-	g/day	-	4.5	g/day
salt	m	y	8	9	-	-	-	-	g/day	-	5.0	g/day
salt	m	y	10	11	-	-	-	-	g/day	-	6.0	g/day
salt	m	y	12	14	-	-	-	-	g/day	-	7.0	g/day
salt	m	y	15	17	-	-	-	-	g/day	-	7.5	g/day
salt	m	y	18	29	1.5	-	-	-	g/day	-	7.5	g/day
salt	m	y	30	49	1.5	-	-	-	g/day	-	7.5	g/day
salt	m	y	50	64	1.5	-	-	-	g/day	-	7.5	g/day
salt	m	y	65	74	1.5	-	-	-	g/day	-	7.5	g/day
salt	m	y	75	-	1.5	-	-	-	g/day	-	7.5	g/day
salt	f	m	0	5	-	-	0.3	-	g/day	-	-	g/day
salt	f	m	6	11	-	-	1.5	-	g/day	-	-	g/day
salt	f	y	1	2	-	-	-	-	g/day	-	3.0	g/day
salt	f	y	3	5	-	-	-	-	g/day	-	3.5	g/day
salt	f	y	6	7	-	-	-	-	g/day	-	4.5	g/day
salt	f	y	8	9	-	-	-	-	g/day	-	5.0	g/day
salt	f	y	10	11	-	-	-	-	g/day	-	6.0	g/day
salt	f	y	12	14	-	-	-	-	g/day	-	6.5	g/day
salt	f	y	15	17	-	-	-	-	g/day	-	6.5	g/day
salt	f	y	18	29	1.5	-	-	-	g/day	-	6.5	g/day
salt	f	y	30	49	1.5	-	-	-	g/day	-	6.5	g/day
salt	f	y	50	64	1.5	-	-	-	g/day	-	6.5	g/day
salt	f	y	65	74	1.5	-	-	-	g/day	-	6.5	g/day
salt	f	y	75	-	1.5	-	-	-	g/day	-	6.5	g/day
salt	f	p	0	15	1.5	-	-	-	g/day	-	6.5	g/day
salt	f	p	16	27	1.5	-	-	-	g/day	-	6.5	g/day
salt	f	p	38	-	1.5	-	-	-	g/day	-	6.5	g/day
salt	f	l	-	-	1.5	-	-		g/day	-	6.5	g/day
ca	m	m	0	5	-	-	200	-	mg/day	-	-	-
ca	m	m	6	11	-	-	250	-	mg/day	-	-	-
ca	m	y	1	2	350	450	-	-	mg/day	-	-	-
ca	m	y	3	5	500	600	-	-	mg/day	-	-	-
ca	m	y	6	7	500	600	-	-	mg/day	-	-	-
ca	m	y	8	9	550	650	-	-	mg/day	-	-	-
ca	m	y	10	11	600	700	-	-	mg/day	-	-	-
ca	m	y	12	14	850	1000	-	-	mg/day	-	-	-
ca	m	y	15	17	650	800	-	-	mg/day	-	-	-
ca	m	y	18	29	650	800	-	2500	mg/day	-	-	-
ca	m	y	30	49	600	750	-	2500	mg/day	-	-	-
ca	m	y	50	64	600	750	-	2500	mg/day	-	-	-
ca	m	y	65	74	600	750	-	2500	mg/day	-	-	-
ca	m	y	75	-	600	750	-	2500	mg/day	-	-	-
ca	f	m	0	5	-	-	200	-	mg/day	-	-	-
ca	f	m	6	11	-	-	250	-	mg/day	-	-	-
ca	f	y	1	2	350	400	-	-	mg/day	-	-	-
ca	f	y	3	5	450	550	-	-	mg/day	-	-	-
ca	f	y	6	7	450	550	-	-	mg/day	-	-	-
ca	f	y	8	9	600	750	-	-	mg/day	-	-	-
ca	f	y	10	11	600	750	-	-	mg/day	-	-	-
ca	f	y	12	14	700	800	-	-	mg/day	-	-	-
ca	f	y	15	17	550	650	-	-	mg/day	-	-	-
ca	f	y	18	29	550	650	-	2500	mg/day	-	-	-
ca	f	y	30	49	550	650	-	2500	mg/day	-	-	-
ca	f	y	50	64	550	650	-	2500	mg/day	-	-	-
ca	f	y	65	74	550	650	-	2500	mg/day	-	-	-
ca	f	y	75	-	500	600	-	2500	mg/day	-	-	-
ca	f	p	0	15	-	-	-	-	mg/day	-	-	-
ca	f	p	16	27	-	-	-	-	mg/day	-	-	-
ca	f	p	38	-	-	-	-	-	mg/day	-	-	-
ca	f	l	-	-	-	-	-		mg/day	-	-	-
mg	m	m	0	5	-	-	20	-	mg/day	-	-	-
mg	m	m	6	11	-	-	60	-	mg/day	-	-	-
mg	m	y	1	2	60	70	-	-	mg/day	-	-	-
mg	m	y	3	5	80	100	-	-	mg/day	-	-	-
mg	m	y	6	7	110	130	-	-	mg/day	-	-	-
mg	m	y	8	9	140	170	-	-	mg/day	-	-	-
mg	m	y	10	11	180	210	-	-	mg/day	-	-	-
mg	m	y	12	14	250	290	-	-	mg/day	-	-	-
mg	m	y	15	17	300	360	-	-	mg/day	-	-	-
mg	m	y	18	29	280	340	-	-	mg/day	-	-	-
mg	m	y	30	49	310	370	-	-	mg/day	-	-	-
mg	m	y	50	64	310	370	-	-	mg/day	-	-	-
mg	m	y	65	74	290	350	-	-	mg/day	-	-	-
mg	m	y	75	-	270	320	-	-	mg/day	-	-	-
mg	f	m	0	5	-	-	20	-	mg/day	-	-	-
mg	f	m	6	11	-	-	60	-	mg/day	-	-	-
mg	f	y	1	2	60	70	-	-	mg/day	-	-	-
mg	f	y	3	5	80	100	-	-	mg/day	-	-	-
mg	f	y	6	7	110	130	-	-	mg/day	-	-	-
mg	f	y	8	9	140	160	-	-	mg/day	-	-	-
mg	f	y	10	11	180	220	-	-	mg/day	-	-	-
mg	f	y	12	14	240	290	-	-	mg/day	-	-	-
mg	f	y	15	17	260	310	-	-	mg/day	-	-	-
mg	f	y	18	29	230	270	-	-	mg/day	-	-	-
mg	f	y	30	49	240	290	-	-	mg/day	-	-	-
mg	f	y	50	64	240	290	-	-	mg/day	-	-	-
mg	f	y	65	74	230	280	-	-	mg/day	-	-	-
mg	f	y	75	-	220	260	-	-	mg/day	-	-	-
mg	f	p	0	15	+30	+40	-	-	mg/day	-	-	-
mg	f	p	16	27	+30	+40	-	-	mg/day	-	-	-
mg	f	p	38	-	+30	+40	-	-	mg/day	-	-	-
mg	f	l	-	-	-	-	-		mg/day	-	-	-
p	m	m	0	5	-	-	120	-	mg/day	-	-	-
p	m	m	6	11	-	-	260	-	mg/day	-	-	-
p	m	y	1	2	-	-	500	-	mg/day	-	-	-
p	m	y	3	5	-	-	700	-	mg/day	-	-	-
p	m	y	6	7	-	-	900	-	mg/day	-	-	-
p	m	y	8	9	-	-	1000	-	mg/day	-	-	-
p	m	y	10	11	-	-	1100	-	mg/day	-	-	-
p	m	y	12	14	-	-	1200	-	mg/day	-	-	-
p	m	y	15	17	-	-	1200	-	mg/day	-	-	-
p	m	y	18	29	-	-	1000	3000	mg/day	-	-	-
p	m	y	30	49	-	-	1000	3000	mg/day	-	-	-
p	m	y	50	64	-	-	1000	3000	mg/day	-	-	-
p	m	y	65	74	-	-	1000	3000	mg/day	-	-	-
p	m	y	75	-	-	-	1000	3000	mg/day	-	-	-
p	f	m	0	5	-	-	120	-	mg/day	-	-	-
p	f	m	6	11	-	-	260	-	mg/day	-	-	-
p	f	y	1	2	-	-	500	-	mg/day	-	-	-
p	f	y	3	5	-	-	700	-	mg/day	-	-	-
p	f	y	6	7	-	-	800	-	mg/day	-	-	-
p	f	y	8	9	-	-	1000	-	mg/day	-	-	-
p	f	y	10	11	-	-	1000	-	mg/day	-	-	-
p	f	y	12	14	-	-	1000	-	mg/day	-	-	-
p	f	y	15	17	-	-	900	-	mg/day	-	-	-
p	f	y	18	29	-	-	800	-	mg/day	-	-	-
p	f	y	30	49	-	-	800	-	mg/day	-	-	-
p	f	y	50	64	-	-	800	-	mg/day	-	-	-
p	f	y	65	74	-	-	800	-	mg/day	-	-	-
p	f	y	75	-	-	-	800	-	mg/day	-	-	-
p	f	p	0	15	-	-	800	-	mg/day	-	-	-
p	f	p	16	27	-	-	800	-	mg/day	-	-	-
p	f	p	38	-	-	-	800	-	mg/day	-	-	-
p	f	l	-	-	-	-	800		mg/day	-	-	-
fe	m	m	0	5	-	-	0.5	-	mg/day	-	-	-
fe	m	m	6	11	3.5	5.0	-	-	mg/day	-	-	-
fe	m	y	1	2	3.0	4.5	-	25	mg/day	-	-	-
fe	m	y	3	5	4.0	5.5	-	25	mg/day	-	-	-
fe	m	y	6	7	5.0	5.5	-	30	mg/day	-	-	-
fe	m	y	8	9	6.0	7.0	-	35	mg/day	-	-	-
fe	m	y	10	11	7.0	8.5	-	35	mg/day	-	-	-
fe	m	y	12	14	8.0	10.0	-	40	mg/day	-	-	-
fe	m	y	15	17	8.0	10.0	-	50	mg/day	-	-	-
fe	m	y	18	29	6.5	7.5	-	50	mg/day	-	-	-
fe	m	y	30	49	6.5	7.5	-	50	mg/day	-	-	-
fe	m	y	50	64	6.5	7.5	-	50	mg/day	-	-	-
fe	m	y	65	74	6.0	7.5	-	50	mg/day	-	-	-
fe	m	y	75	-	6.0	7.0	-	50	mg/day	-	-	-
fe	f	m	0	5	-	-	0.5	-	mg/day	-	-	-
fe	f	m	6	11	3.5	4.5	-	-	mg/day	-	-	-
fe	f	y	1	2	3.0	4.5	-	20	mg/day	-	-	-
fe	f	y	3	5	4.0	5.5	-	25	mg/day	-	-	-
fe	f	y	6	7	4.5	5.5	-	30	mg/day	-	-	-
fe	f	y	8	9	6.0	7.5	-	35	mg/day	-	-	-
fe	f	y	10	11	7.0	8.5	-	35	mg/day	-	-	-
fe	f	y	12	14	7.0	8.5	-	40	mg/day	-	-	-
fe	f	y	15	17	5.5	7.0	-	40	mg/day	-	-	-
fe	f	y	18	29	5.5	6.5	-	40	mg/day	-	-	-
fe	f	y	30	49	5.5	6.5	-	40	mg/day	-	-	-
fe	f	y	50	64	5.5	6.5	-	40	mg/day	-	-	-
fe	f	y	65	74	5.0	6.0	-	40	mg/day	-	-	-
fe	f	y	75	-	5.0	6.0	-	40	mg/day	-	-	-
fe	f	p	0	15	+2.0	+2.5	-	-	mg/day	-	-	-
fe	f	p	16	27	+8.0	+9.5	-	-	mg/day	-	-	-
fe	f	p	38	-	+8.0	+9.5	-	-	mg/day	-	-	-
fe	f	l	-	-	+2.0	+2.5	-		mg/day	-	-	-
